"id";"spec_id";"frame_id";"type"
26;1;63;"comprehension"
27;8;16;"comprehension"
28;8;50;"comprehension"
29;8;16;"comprehension"
30;9;18;"comprehension"
31;9;16;"comprehension"
32;10;66;"comprehension"
33;11;66;"comprehension"
34;12;50;"comprehension"
35;13;50;"comprehension"
36;14;50;"comprehension"
37;15;72;"comprehension"
38;15;73;"comprehension"
39;16;72;"comprehension"
40;16;73;"comprehension"
41;17;72;"comprehension"
42;17;73;"comprehension"
43;18;72;"comprehension"
44;18;73;"comprehension"
45;18;71;"comprehension"
46;19;72;"comprehension"
47;19;73;"comprehension"
48;19;71;"comprehension"
49;20;72;"comprehension"
50;20;73;"comprehension"
51;20;71;"comprehension"
52;21;72;"comprehension"
53;21;73;"comprehension"
54;21;71;"comprehension"
55;22;71;"comprehension"
56;22;72;"comprehension"
57;22;73;"comprehension"
58;23;71;"comprehension"
59;23;73;"comprehension"
60;23;72;"comprehension"
61;24;71;"comprehension"
62;24;73;"comprehension"
63;24;72;"comprehension"
64;25;71;"comprehension"
65;25;73;"comprehension"
66;25;72;"comprehension"
67;26;71;"comprehension"
68;26;73;"comprehension"
69;26;72;"comprehension"
70;27;72;"comprehension"
71;28;72;"comprehension"
72;29;77;"comprehension"
73;30;77;"comprehension"
74;31;72;"comprehension"
75;32;72;"comprehension"
76;32;73;"comprehension"
77;33;72;"comprehension"
78;33;73;"comprehension"
79;34;73;"comprehension"
80;34;72;"comprehension"
81;35;72;"comprehension"
82;35;73;"comprehension"
83;36;72;"comprehension"
84;36;73;"comprehension"
85;37;72;"comprehension"
86;37;73;"comprehension"
87;38;72;"comprehension"
88;38;73;"comprehension"
89;39;72;"comprehension"
90;39;73;"comprehension"
91;41;73;"comprehension"
92;41;72;"comprehension"
93;43;66;"comprehension"
94;44;66;"comprehension"
95;45;66;"comprehension"
